============================================================
  Scraper OAB - JurisWay  (IDs verificados, encoding iso-8859-1)
============================================================

-------------------------------------------------------
  OAB-XXI  (id_prova=642)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=A | media
  [22/80] Direitos Humanos             correta=A | media
  [23/80] Direito Internacional        correta=C | media
  [24/80] Direito Internacional        correta=D | media
  [25/80] Questo 25 - Direito Tributri correta=A | media
  [26/80] Questo 26 - Direito Tributri correta=D | facil
  [27/80] Questo 27 - Direito Tributri correta=B | facil
  [28/80] Questo 28 - Direito Tributri correta=C | media
  [29/80] Direito Administrativo       correta=C | facil
  [30/80] Direito Administrativo       correta=A | facil
  [31/80] Direito Administrativo       correta=C | facil
  [32/80] Direito Administrativo       correta=D | media
  [33/80] Direito Administrativo       correta=A | media
  [34/80] Direito Administrativo       correta=D | media
  [35/80] Direito Ambiental            correta=A | media
  [36/80] Direito Ambiental            correta=C | facil
  [37/80] Direito Civil                correta=A | facil
  [38/80] Direito Civil                correta=D | facil
  [39/80] Direito Civil                correta=D | facil
  [40/80] Direito Civil                correta=A | facil
  [41/80] Direito Civil                correta=B | dificil
  [42/80] Direito Civil                correta=B | media
  [43/80] Direito Civil                correta=D | media
  [44/80] Questo 44 - Estatuto da Cria correta=D | facil
  [45/80] Questo 45 - Estatuto da Cria correta=A | facil
  [46/80] Direito do Consumidor        correta=D | facil
  [47/80] Direito do Consumidor        correta=B | facil
  [48/80] Direito Empresarial          correta=B | media
  [49/80] Direito Empresarial          correta=B | media
  [50/80] Direito Empresarial          correta=C | media
  [51/80] Direito Empresarial          correta=D | dificil
  [52/80] Direito Empresarial          correta=C | media
  [53/80] Direito Processual Civil     correta=C | facil
  [54/80] Direito Processual Civil     correta=B | facil
  [55/80] Direito Processual Civil     correta=C | media
  [56/80] Direito Processual Civil     correta=C | dificil
  [57/80] Direito Processual Civil     correta=D | media
  [58/80] Direito Processual Civil     correta=C | dificil
  [59/80] Direito Penal                correta=A | media
  [60/80] Direito Penal                correta=A | facil
  [61/80] Direito Penal                correta=B | facil
  [62/80] Direito Penal                correta=D | media
  [63/80] Direito Penal                correta=C | facil
  [64/80] Direito Penal                correta=A | media
  [65/80] Direito Processual Penal     correta=C | dificil
  [66/80] Direito Processual Penal     correta=B | media
  [67/80] Direito Processual Penal     correta=B | media
  [68/80] Direito Processual Penal     correta=B | media
  [69/80] Direito Processual Penal     correta=A | facil
  [70/80] Direito do Trabalho          correta=B | dificil
  [71/80] Direito do Trabalho          correta=A | dificil
  [72/80] Direito do Trabalho          correta=A | dificil
  [73/80] Direito do Trabalho          correta=A | media
  [74/80] Direito do Trabalho          correta=C | media
  [75/80] Direito do Trabalho          correta=D | media
  [76/80] Direito Processual do Trabal correta=C | facil
  [77/80] Direito Processual do Trabal correta=C | media
  [78/80] Direito Processual do Trabal correta=A | dificil
  [79/80] Direito Processual do Trabal correta=C | media
  [80/80] Direito Processual do Trabal correta=B | media

-------------------------------------------------------
  OAB-XXIII  (id_prova=650)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | media
  [ 2/80] Etica Profissional           correta=C | media
  [ 3/80] Etica Profissional           correta=A | media
  [ 4/80] Etica Profissional           correta=C | facil
  [ 5/80] Etica Profissional           correta=A | facil
  [ 6/80] Etica Profissional           correta=A | media
  [ 7/80] Etica Profissional           correta=B | media
  [ 8/80] Etica Profissional           correta=C | media
  [ 9/80] Filosofia do Direito         correta=D | dificil
  [10/80] Filosofia do Direito         correta=A | dificil
  [11/80] Direito Constitucional       correta=D | media
  [12/80] Direito Constitucional       correta=B | media
  [13/80] Direito Constitucional       correta=B | facil
  [14/80] Direito Constitucional       correta=B | media
  [15/80] Direito Constitucional       correta=A | facil
  [16/80] Direito Constitucional       correta=C | media
  [17/80] Direito Constitucional       correta=A | media
  [18/80] Direitos Humanos             correta=D | media
  [19/80] Direitos Humanos             correta=B | facil
  [20/80] Direito Internacional        correta=B | dificil
  [21/80] Direito Internacional        correta=C | media
  [22/80] Questo 22 - Direito Tributri correta=D | facil
  [23/80] Questo 23 - Direito Tributri correta=C | media
  [24/80] Questo 24 - Direito Tributri correta=A | media
  [25/80] Questo 25 - Direito Tributri correta=B | facil
  [26/80] Questo 26 - Direito Tributri correta=D | media
  [27/80] Direito Administrativo       correta=C | media
  [28/80] Direito Administrativo       correta=D | dificil
  [29/80] Direito Administrativo       correta=A | media
  [30/80] Direito Administrativo       correta=D | facil
  [31/80] Direito Administrativo       correta=A | media
  [32/80] Direito Administrativo       correta=A | media
  [33/80] Direito Ambiental            correta=D | facil
  [34/80] Direito Ambiental            correta=D | media
  [35/80] Direito Civil                correta=A | facil
  [36/80] Direito Civil                correta=C | dificil
  [37/80] Direito Civil                correta=A | media
  [38/80] Direito Civil                correta=C | facil
  [39/80] Direito Civil                correta=A | facil
  [40/80] Direito Civil                correta=C | media
  [41/80] Direito Civil                correta=B | media
  [42/80] Questo 42 - Estatuto da Cria correta=B | media
  [43/80] Questo 43 - Estatuto da Cria correta=D | facil
  [44/80] Direito do Consumidor        correta=D | facil
  [45/80] Direito do Consumidor        correta=C | media
  [46/80] Direito Empresarial          correta=B | dificil
  [47/80] Direito Empresarial          correta=C | media
  [48/80] Direito Empresarial          correta=D | dificil
  [49/80] Direito Empresarial          correta=C | dificil
  [50/80] Direito Empresarial          correta=B | dificil
  [51/80] Direito Processual Civil     correta=D | dificil
  [52/80] Direito Processual Civil     correta=B | media
  [53/80] Direito Processual Civil     correta=C | media
  [54/80] Direito Processual Civil     correta=C | facil
  [55/80] Direito Processual Civil     correta=C | dificil
  [56/80] Direito Processual Civil     correta=B | media
  [57/80] Direito Processual Civil     correta=C | dificil
  [58/80] Direito Penal                correta=B | dificil
  [59/80] Direito Penal                correta=B | dificil
  [60/80] Direito Penal                correta=C | media
  [61/80] Direito Penal                correta=D | media
  [62/80] Direito Penal                correta=B | media
  [63/80] Direito Penal                correta=D | dificil
  [64/80] Direito Processual Penal     correta=C | media
  [65/80] Direito Processual Penal     correta=D | media
  [66/80] Direito Processual Penal     correta=B | media
  [67/80] Direito Processual Penal     correta=D | media
  [68/80] Direito Processual Penal     correta=C | dificil
  [69/80] Direito Processual Penal     correta=D | facil
  [70/80] Direito do Trabalho          correta=C | dificil
  [71/80] Direito do Trabalho          correta=B | dificil
  [72/80] Direito do Trabalho          correta=D | media
  [73/80] Direito do Trabalho          correta=C | media
  [74/80] Direito do Trabalho          correta=A | media
  [75/80] Direito do Trabalho          correta=A | media
  [76/80] Direito Processual do Trabal correta=D | facil
  [77/80] Direito Processual do Trabal correta=C | dificil
  [78/80] Direito Processual do Trabal correta=D | facil
  [79/80] Direito Processual do Trabal correta=A | media
  [80/80] Direito Processual do Trabal correta=A | media

-------------------------------------------------------
  OAB-XXIV  (id_prova=653)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | media
  [ 2/80] Etica Profissional           correta=B | facil
  [ 3/80] Etica Profissional           correta=A | facil
  [ 4/80] Etica Profissional           correta=C | facil
  [ 5/80] Etica Profissional           correta=C | dificil
  [ 6/80] Etica Profissional           correta=C | dificil
  [ 7/80] Etica Profissional           correta=A | media
  [ 8/80] Etica Profissional           correta=D | facil
  [ 9/80] Filosofia do Direito         correta=B | media
  [10/80] Filosofia do Direito         correta=C | media
  [11/80] Direito Constitucional       correta=D | media
  [12/80] Direito Constitucional       correta=B | facil
  [13/80] Direito Constitucional       correta=B | facil
  [14/80] Direito Constitucional       correta=A | media
  [15/80] Direito Constitucional       correta=B | media
  [16/80] Direito Constitucional       correta=B | facil
  [17/80] Direito Constitucional       correta=C | facil
  [18/80] Direitos Humanos             correta=C | media
  [19/80] Direitos Humanos             correta=D | media
  [20/80] Direito Internacional        correta=C | media
  [21/80] Direito Internacional        correta=B | media
  [22/80] Questo 22 - Direito Tributri correta=B | media
  [23/80] Questo 23 - Direito Tributri correta=B | facil
  [24/80] Questo 24 - Direito Tributri correta=C | facil
  [25/80] Questo 25 - Direito Tributri correta=D | facil
  [26/80] Questo 26 - Direito Tributri correta=B | media
  [27/80] Direito Administrativo       correta=C | facil
  [28/80] Direito Administrativo       correta=D | facil
  [29/80] Direito Administrativo       correta=D | facil
  [30/80] Direito Administrativo       correta=B | media
  [31/80] Direito Administrativo       correta=C | facil
  [32/80] Direito Administrativo       correta=A | media
  [33/80] Direito Ambiental            correta=B | dificil
  [34/80] Direito Ambiental            correta=B | dificil
  [35/80] Direito Civil                correta=D | media
  [36/80] Direito Civil                correta=A | media
  [37/80] Direito Civil                correta=D | facil
  [38/80] Direito Civil                correta=C | media
  [39/80] Direito Civil                correta=D | facil
  [40/80] Direito Civil                correta=B | facil
  [41/80] Direito Civil                correta=B | media
  [42/80] Questo 42 - Estatuto da Cria correta=C | facil
  [43/80] Questo 43 - Estatuto da Cria correta=D | media
  [44/80] Direito do Consumidor        correta=A | facil
  [45/80] Direito do Consumidor        correta=A | facil
  [46/80] Direito Empresarial          correta=A | media
  [47/80] Direito Empresarial          correta=C | media
  [48/80] Direito Empresarial          correta=D | media
  [49/80] Direito Empresarial          correta=A | media
  [50/80] Direito Empresarial          correta=B | dificil
  [51/80] Direito Processual Civil     correta=B | media
  [52/80] Direito Processual Civil     correta=D | media
  [53/80] Direito Processual Civil     correta=C | media
  [54/80] Direito Processual Civil     correta=D | dificil
  [55/80] Direito Processual Civil     correta=C | dificil
  [56/80] Direito Processual Civil     correta=B | media
  [57/80] Direito Processual Civil     correta=B | dificil
  [58/80] Direito Penal                correta=C | media
  [59/80] Direito Penal                correta=A | facil
  [60/80] Direito Penal                correta=A | dificil
  [61/80] Direito Penal                correta=D | facil
  [62/80] Direito Penal                correta=B | dificil
  [63/80] Direito Penal                correta=D | dificil
  [64/80] Direito Processual Penal     correta=A | media
  [65/80] Direito Processual Penal     correta=C | dificil
  [66/80] Direito Processual Penal     correta=B | media
  [67/80] Direito Processual Penal     correta=C | media
  [68/80] Direito Processual Penal     correta=D | media
  [69/80] Direito Processual Penal     correta=A | media
  [70/80] Direito do Trabalho          correta=A | media
  [71/80] Direito do Trabalho          [sem gabarito] | media
  [72/80] Direito do Trabalho          correta=D | media
  [73/80] Direito do Trabalho          correta=C | media
  [74/80] Direito do Trabalho          correta=B | facil
  [75/80] Direito do Trabalho          correta=D | facil
  [76/80] Direito Processual do Trabal correta=A | media
  [77/80] Direito Processual do Trabal correta=A | media
  [78/80] Direito Processual do Trabal correta=A | media
  [79/80] Direito Processual do Trabal correta=D | media
  [80/80] Direito Processual do Trabal correta=A | media

-------------------------------------------------------
  OAB-XXV  (id_prova=654)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=B | media
  [ 2/80] Etica Profissional           correta=D | media
  [ 3/80] Etica Profissional           correta=C | dificil
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=C | facil
  [ 6/80] Etica Profissional           correta=D | media
  [ 7/80] Etica Profissional           correta=A | facil
  [ 8/80] Etica Profissional           correta=C | dificil
  [ 9/80] Filosofia do Direito         correta=A | dificil
  [10/80] Filosofia do Direito         correta=B | facil
  [11/80] Direito Constitucional       correta=A | facil
  [12/80] Direito Constitucional       correta=C | media
  [13/80] Direito Constitucional       correta=B | dificil
  [14/80] Direito Constitucional       correta=D | facil
  [15/80] Direito Constitucional       correta=C | facil
  [16/80] Direito Constitucional       correta=C | media
  [17/80] Direito Constitucional       correta=C | facil
  [18/80] Direitos Humanos             correta=D | media
  [19/80] Direitos Humanos             correta=A | facil
  [20/80] Direito Internacional        correta=A | dificil
  [21/80] Direito Internacional        correta=B | dificil
  [22/80] Questo 22 - Direito Tributri correta=D | facil
  [23/80] Questo 23 - Direito Tributri correta=C | media
  [24/80] Questo 24 - Direito Tributri correta=D | facil
  [25/80] Questo 25 - Direito Tributri correta=C | media
  [26/80] Questo 26 - Direito Tributri correta=B | facil
  [27/80] Direito Administrativo       correta=C | media
  [28/80] Direito Administrativo       correta=C | media
  [29/80] Direito Administrativo       correta=A | media
  [30/80] Direito Administrativo       correta=B | media
  [31/80] Direito Administrativo       correta=D | media
  [32/80] Direito Administrativo       correta=D | facil
  [33/80] Direito Ambiental            correta=A | dificil
  [34/80] Direito Ambiental            correta=B | media
  [35/80] Direito Civil                correta=D | dificil
  [36/80] Direito Civil                correta=B | facil
  [37/80] Direito Civil                correta=A | facil
  [38/80] Direito Civil                correta=D | media
  [39/80] Direito Civil                correta=B | media
  [40/80] Direito Civil                correta=B | media
  [41/80] Direito Civil                correta=A | facil
  [42/80] Questo 42 - Estatuto da Cria correta=D | facil
  [43/80] Questo 43 - Estatuto da Cria correta=C | media
  [44/80] Direito do Consumidor        correta=C | facil
  [45/80] Direito do Consumidor        correta=A | media
  [46/80] Direito Empresarial          correta=A | facil
  [47/80] Direito Empresarial          correta=B | dificil
  [48/80] Direito Empresarial          correta=B | dificil
  [49/80] Direito Empresarial          correta=A | dificil
  [50/80] Direito Empresarial          correta=B | dificil
  [51/80] Direito Processual Civil     correta=A | media
  [52/80] Direito Processual Civil     correta=B | media
  [53/80] Direito Processual Civil     correta=B | media
  [54/80] Direito Processual Civil     correta=C | media
  [55/80] Direito Processual Civil     correta=B | media
  [56/80] Direito Processual Civil     correta=D | dificil
  [57/80] Direito Processual Civil     correta=C | media
  [58/80] Direito Penal                correta=C | media
  [59/80] Direito Penal                correta=D | media
  [60/80] Direito Penal                correta=A | media
  [61/80] Direito Penal                correta=A | media
  [62/80] Direito Penal                correta=D | dificil
  [63/80] Direito Penal                correta=A | dificil
  [64/80] Direito Processual Penal     correta=B | media
  [65/80] Direito Processual Penal     correta=B | media
  [66/80] Direito Processual Penal     correta=B | facil
  [67/80] Direito Processual Penal     correta=A | dificil
  [68/80] Direito Processual Penal     correta=C | dificil
  [69/80] Direito Processual Penal     correta=D | media
  [70/80] Direito do Trabalho          correta=C | media
  [71/80] Direito do Trabalho          correta=A | facil
  [72/80] Direito do Trabalho          correta=B | facil
  [73/80] Direito do Trabalho          correta=A | media
  [74/80] Direito do Trabalho          correta=A | facil
  [75/80] Direito do Trabalho          correta=A | dificil
  [76/80] Direito Processual do Trabal correta=A | dificil
  [77/80] Direito Processual do Trabal correta=C | media
  [78/80] Direito Processual do Trabal correta=B | dificil
  [79/80] Direito Processual do Trabal correta=B | media
  [80/80] Direito Processual do Trabal correta=A | media

-------------------------------------------------------
  OAB-XXVI  (id_prova=655)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=C | facil
  [ 2/80] Etica Profissional           correta=C | facil
  [ 3/80] Etica Profissional           correta=B | media
  [ 4/80] Etica Profissional           correta=C | facil
  [ 5/80] Etica Profissional           correta=A | facil
  [ 6/80] Etica Profissional           correta=A | facil
  [ 7/80] Etica Profissional           correta=B | media
  [ 8/80] Etica Profissional           correta=C | media
  [ 9/80] Filosofia do Direito         correta=B | facil
  [10/80] Filosofia do Direito         correta=D | facil
  [11/80] Direito Constitucional       correta=D | media
  [12/80] Direito Constitucional       correta=A | media
  [13/80] Direito Constitucional       correta=C | media
  [14/80] Direito Constitucional       correta=B | media
  [15/80] Direito Constitucional       correta=C | facil
  [16/80] Direito Constitucional       correta=A | media
  [17/80] Direito Constitucional       correta=C | facil
  [18/80] Direitos Humanos             correta=B | media
  [19/80] Direitos Humanos             correta=C | dificil
  [20/80] Direito Internacional        correta=A | media
  [21/80] Direito Internacional        correta=D | dificil
  [22/80] Questo 22 - Direito Tributri correta=A | facil
  [23/80] Questo 23 - Direito Tributri correta=C | dificil
  [24/80] Questo 24 - Direito Tributri correta=D | media
  [25/80] Questo 25 - Direito Tributri correta=B | facil
  [26/80] Questo 26 - Direito Tributri correta=D | facil
  [27/80] Direito Administrativo       correta=D | facil
  [28/80] Direito Administrativo       correta=A | media
  [29/80] Direito Administrativo       correta=B | facil
  [30/80] Direito Administrativo       correta=B | facil
  [31/80] Direito Administrativo       correta=C | facil
  [32/80] Direito Administrativo       correta=D | facil
  [33/80] Direito Ambiental            correta=B | media
  [34/80] Direito Ambiental            correta=C | dificil
  [35/80] Direito Civil                correta=C | media
  [36/80] Direito Civil                correta=A | facil
  [37/80] Direito Civil                correta=C | facil
  [38/80] Direito Civil                correta=D | media
  [39/80] Direito Civil                correta=B | media
  [40/80] Direito Civil                correta=A | media
  [41/80] Direito Civil                correta=D | media
  [42/80] Questo 42 - Estatuto da Cria correta=D | facil
  [43/80] Questo 43 - Estatuto da Cria correta=B | media
  [44/80] Direito do Consumidor        correta=A | facil
  [45/80] Direito do Consumidor        correta=A | media
  [46/80] Direito Empresarial          correta=C | media
  [47/80] Direito Empresarial          correta=A | facil
  [48/80] Direito Empresarial          correta=A | dificil
  [49/80] Direito Empresarial          correta=D | media
  [50/80] Direito Empresarial          correta=C | media
  [51/80] Direito Processual Civil     correta=D | facil
  [52/80] Direito Processual Civil     correta=D | dificil
  [53/80] Direito Processual Civil     correta=A | media
  [54/80] Direito Processual Civil     correta=D | dificil
  [55/80] Direito Processual Civil     correta=A | dificil
  [56/80] Direito Processual Civil     correta=B | media
  [57/80] Direito Processual Civil     correta=B | facil
  [58/80] Direito Penal                correta=D | media
  [59/80] Direito Penal                correta=D | media
  [60/80] Direito Penal                correta=A | dificil
  [61/80] Direito Penal                correta=C | media
  [62/80] Direito Penal                correta=B | facil
  [63/80] Direito Penal                correta=D | media
  [64/80] Direito Processual Penal     correta=A | media
  [65/80] Direito Processual Penal     correta=D | media
  [66/80] Direito Processual Penal     correta=B | media
  [67/80] Direito Processual Penal     correta=C | facil
  [68/80] Direito Processual Penal     correta=D | media
  [69/80] Direito Processual Penal     correta=C | media
  [70/80] Direito do Trabalho          correta=C | facil
  [71/80] Direito do Trabalho          correta=A | facil
  [72/80] Direito do Trabalho          correta=B | facil
  [73/80] Direito do Trabalho          correta=D | facil
  [74/80] Direito do Trabalho          correta=B | media
  [75/80] Direito do Trabalho          correta=B | media
  [76/80] Direito Processual do Trabal correta=A | media
  [77/80] Direito Processual do Trabal correta=C | facil
  [78/80] Direito Processual do Trabal correta=A | media
  [79/80] Direito Processual do Trabal correta=C | media
  [80/80] Direito Processual do Trabal correta=B | facil

-------------------------------------------------------
  OAB-XXVII  (id_prova=656)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=A | media
  [ 2/80] Etica Profissional           correta=C | facil
  [ 3/80] Etica Profissional           correta=C | media
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=D | media
  [ 6/80] Etica Profissional           correta=D | media
  [ 7/80] Etica Profissional           correta=B | media
  [ 8/80] Etica Profissional           correta=A | media
  [ 9/80] Filosofia do Direito         correta=D | media
  [10/80] Filosofia do Direito         correta=C | media
  [11/80] Direito Constitucional       correta=C | media
  [12/80] Direito Constitucional       correta=A | media
  [13/80] Direito Constitucional       correta=A | facil
  [14/80] Direito Constitucional       correta=B | facil
  [15/80] Direito Constitucional       correta=C | media
  [16/80] Direito Constitucional       correta=D | media
  [17/80] Direito Constitucional       correta=B | media
  [18/80] Direitos Humanos             correta=D | facil
  [19/80] Direitos Humanos             correta=B | media
  [20/80] Direito Internacional        correta=C | media
  [21/80] Direito Internacional        correta=D | facil
  [22/80] Questo 22 - Direito Tributri correta=B | media
  [23/80] Questo 23 - Direito Tributri correta=B | media
  [24/80] Questo 24 - Direito Tributri correta=C | media
  [25/80] Questo 25 - Direito Tributri correta=A | dificil
  [26/80] Questo 26 - Direito Tributri correta=A | dificil
  [27/80] Direito Administrativo       correta=A | dificil
  [28/80] Direito Administrativo       correta=D | facil
  [29/80] Direito Administrativo       correta=B | media
  [30/80] Direito Administrativo       correta=C | facil
  [31/80] Direito Administrativo       correta=A | media
  [32/80] Direito Administrativo       correta=B | media
  [33/80] Direito Ambiental            correta=A | media
  [34/80] Direito Ambiental            correta=C | dificil
  [35/80] Direito Civil                correta=B | media
  [36/80] Direito Civil                correta=C | facil
  [37/80] Direito Civil                correta=A | media
  [38/80] Direito Civil                correta=C | facil
  [39/80] Direito Civil                correta=A | facil
  [40/80] Direito Civil                correta=B | dificil
  [41/80] Direito Civil                [sem gabarito] | media
  [42/80] Questo 42 - Estatuto da Cria correta=A | facil
  [43/80] Questo 43 - Estatuto da Cria correta=B | facil
  [44/80] Direito do Consumidor        correta=D | facil
  [45/80] Direito do Consumidor        correta=A | media
  [46/80] Direito Empresarial          correta=D | media
  [47/80] Direito Empresarial          correta=B | dificil
  [48/80] Direito Empresarial          correta=D | media
  [49/80] Direito Empresarial          correta=A | facil
  [50/80] Direito Empresarial          correta=B | dificil
  [51/80] Direito Processual Civil     correta=C | facil
  [52/80] Direito Processual Civil     correta=D | media
  [53/80] Direito Processual Civil     correta=A | media
  [54/80] Direito Processual Civil     correta=D | dificil
  [55/80] Direito Processual Civil     correta=A | facil
  [56/80] Direito Processual Civil     correta=C | media
  [57/80] Direito Processual Civil     correta=B | dificil
  [58/80] Direito Penal                correta=C | dificil
  [59/80] Direito Penal                correta=B | media
  [60/80] Direito Penal                correta=C | dificil
  [61/80] Direito Penal                correta=B | media
  [62/80] Direito Penal                correta=D | media
  [63/80] Direito Penal                correta=D | dificil
  [64/80] Direito Processual Penal     correta=B | dificil
  [65/80] Direito Processual Penal     correta=D | media
  [66/80] Direito Processual Penal     correta=C | media
  [67/80] Direito Processual Penal     correta=A | media
  [68/80] Direito Processual Penal     correta=B | dificil
  [69/80] Direito Processual Penal     correta=C | dificil
  [70/80] Direito do Trabalho          correta=D | facil
  [71/80] Direito do Trabalho          correta=A | media
  [72/80] Direito do Trabalho          correta=D | media
  [73/80] Direito do Trabalho          correta=A | facil
  [74/80] Direito do Trabalho          correta=A | facil
  [75/80] Direito do Trabalho          correta=C | facil
  [76/80] Direito Processual do Trabal correta=B | facil
  [77/80] Direito Processual do Trabal correta=A | dificil
  [78/80] Direito Processual do Trabal correta=D | media
  [79/80] Direito Processual do Trabal correta=C | media
  [80/80] Direito Processual do Trabal correta=C | media

-------------------------------------------------------
  OAB-XXVIII  (id_prova=657)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | media
  [ 2/80] Etica Profissional           correta=B | facil
  [ 3/80] Etica Profissional           correta=B | facil
  [ 4/80] Etica Profissional           correta=A | media
  [ 5/80] Etica Profissional           correta=C | media
  [ 6/80] Etica Profissional           correta=A | facil
  [ 7/80] Etica Profissional           correta=D | media
  [ 8/80] Etica Profissional           correta=D | dificil
  [ 9/80] Filosofia do Direito         correta=A | dificil
  [10/80] Filosofia do Direito         correta=B | media
  [11/80] Direito Constitucional       correta=D | facil
  [12/80] Direito Constitucional       correta=B | facil
  [13/80] Direito Constitucional       correta=A | facil
